Title,Abstract,Summary,Strategic decision,AI intelligence,Operation
Comparing automated text classification methods,"Online social media drive the growth of unstructured text data. Many marketing applications require structuring this data at scales non-accessible to human coding, e.g., to detect communication shifts in sentiment or other researcher-defined content categories. Several methods have been proposed to automatically classify unstructured text. This paper compares the performance of ten such approaches (five lexicon-based, five machine learning algorithms) across 41 social media datasets covering major social media platforms, various sample sizes, and languages. So far, marketing research relies predominantly on support vector machines (SVM) and Linguistic Inquiry and Word Count (LIWC). Across all tasks we study, either random forest (RF) or naive Bayes (NB) performs best in terms of correctly uncovering human intuition. In particular, RF exhibits consistently high performance for three-class sentiment, NB for small samples sizes. SVM never outperform the remaining methods. All lexicon-based approaches, LIWC in particular, perform poorly compared with machine learning. In some applications, accuracies only slightly exceed chance. Since additional considerations of text classification choice are also in favor of NB and RF, our results suggest that marketing research can benefit from considering these alternatives.",Automate classification of social media content and sentiment,Marketing action,Mechanical AI,Standardization
Improving Cancer Outreach Effectiveness Through Targeting and Economic Assessments: Insights from a Randomized Field Experiment,"Patients at risk for hepatocellular carcinoma or liver cancer should undergo semiannual screening tests to facilitate early detection, effective treatment options at lower cost, better recovery prognosis, and higher life expectancy. Health care institutions invest in direct-to-patient outreach marketing to encourage regular screening. They ask the following questions: (1) Does the effectiveness of outreach vary among patients and over time?; (2) What is the return on outreach?; and (3) Can patient-level targeted outreach increase the return? The authors use a multiperiod, randomized field experiment involving 1,800 patients. Overall, relative to the usual-care condition, outreach alone (outreach with patient navigation) increases screening completion rates by 10–20 (13–24) percentage points. Causal forests demonstrate that patient-level treatment effects vary substantially across periods and by patients’ demographics, health status, visit history, health system accessibility, and neighborhood socioeconomic status, thereby facilitating the implementation of the targeted outreach program. A simulation shows that the targeted outreach program improves the return on the randomized outreach program by 74%–96% or $1.6 million to $2 million. Thus, outreach marketing provides a substantial positive payoff to the health care system.",AI automates media buying process,Marketing action,Mechanical AI,Standardization
The Internet-of-Things: Review and research directions,"This paper presents a review of the Internet-of-Things (IoT) through four conceptualizations: IoT as liquification and density of information of resources; IoT as digital materiality; IoT as assemblage or service system; and IoT as modules, transactions, and service. From the conceptualizations, we provide a definition of IoT and present its implications and impact on future research in Marketing that interfaces with information systems, design and innovation, data science and cybersecurity, as well as organizational studies and economics. By integrating the implications of IoT with extant literature, we then propose a set of priorities for future research in this area.",IoT visualizes usage and experience data,Marketing research,Mechanical AI, Data collection
The Connected Consumer: Connected Devices and the Evolution of Customer Intelligence,"Technological advances are increasing the connections between customers and companies, products, and one another. Consumers’ use of connected devices is providing rich sources of data about consumers, their activity, and their environment, which we collectively label customer intelligence. At the same time, changes in statistical algorithms and artificial intelligence are making automated inferences and decisions regarding consumer behavior possible. One likely result of these changes is the emergence of companies that are especially adept at generating and using customer intelligence. This article explores how changes in sensing technology, causal modeling, and intelligent marketing platforms may affect the generation and utilization of customer intelligence. We envision a merging of these traditionally separate activities in companies that possess a large, active customer base and the ability to collect, process, and apply data from these customers quickly and accurately. Such a convergence offers substantial potential value but also notable risk for tomorrow’s connected consumers.",Connected devices collect customer intelligence,Marketing research,Mechanical AI, Data collection
Sensor Data and Behavioral Tracking: Does Usage-Based Auto Insurance Benefit Drivers?,"Usage-based insurance (UBI) is a recent auto insurance innovation that enables insurers to collect individual-level driving data, provide feedback on driving performance, and offer individually targeted price discounts based on each consumer’s driving behavior. Using individual driving behavior (from sensor data) and other information for UBI adopters, we estimate the relationship from being enrolled and monitored (for up to 26 weeks) in the UBI program and changes in the driving behavior of UBI customers. The key results of our analysis show that after UBI adoption, the UBI users improve the safety of their driving, providing a meaningful benefit for the individual driver, the insurer, and society as a whole. While UBI customers decrease their daily average hard-brake frequency by an average of 21% after six months, their mileage driven does not decrease comparing week 26 to week 1. We also find heterogeneous effects across different demographic groups. For example, younger drivers improve their UBI scores more than older drivers after UBI adoption, and females show more improvement than males. Furthermore, we find evidence that negative feedback and economic incentives correlate with greater improvement in driving behavior. Our results suggest that by sharing private consumer information with the insurer, UBI can benefit consumers who become better drivers, as well as the entire society from improved road safety.", Sensors tracking driving behavior provide insurers individual-level driving data,Marketing research,Mechanical AI, Data collection
Tracking shoppers,Retailers of all stripes are using technology to follow consumers through their brick-and-mortar stores in order to develop detailed profiles of their shopping habits and preferences.,"Retail tracking technologies, such as heat maps, video surveillance, and Beacons collect in-store shopper data ",Marketing research,Mechanical AI, Data collection
A Structured Analysis of Unstructured Big Data by Leveraging Cloud Computing,"Accurate forecasting of sales/consumption is particularly important for marketing because this information can be used to adjust marketing budget allocations and overall marketing strategies. Recently, online social platforms have produced an unparalleled amount of data on consumer behavior. However, two challenges have limited the use of these data in obtaining meaningful business marketing insights. First, the data are typically in an unstructured format, such as texts, images, audio, and video. Second, the sheer volume of the data makes standard analysis procedures computationally unworkable. In this study, we combine methods from cloud computing, machine learning, and text mining to illustrate how online platform content, such as Twitter, can be effectively used for forecasting. We conduct our analysis on a significant volume of nearly two billion Tweets and 400 billion Wikipedia pages. Our main findings emphasize that, by contrast to basic surface-level measures such as the volume of or sentiments in Tweets, the information content of Tweets and their timeliness significantly improve forecasting accuracy. Our method endogenously summarizes the information in Tweets. The advantage of our method is that the classification of the Tweets is based on what is in the Tweets rather than preconceived topics that may not be relevant. We also find that, by contrast to Twitter, other online data (e.g., Google Trends, Wikipedia views, IMDB reviews, and Huffington Post news) are very weak predictors of TV show demand because users tweet about TV shows before, during, and after a TV show, whereas Google searches, Wikipedia views, IMDB reviews, and news posts typically lag behind the show.",Various online platforms make unstructured big data available for cloud computing to predict sales and consumption,Marketing research,Mechanical AI, Data collection
The Internet-of-Things: Review and research directions,"This paper presents a review of the Internet-of-Things (IoT) through four conceptualizations: IoT as liquification and density of information of resources; IoT as digital materiality; IoT as assemblage or service system; and IoT as modules, transactions, and service. From the conceptualizations, we provide a definition of IoT and present its implications and impact on future research in Marketing that interfaces with information systems, design and innovation, data science and cybersecurity, as well as organizational studies and economics. By integrating the implications of IoT with extant literature, we then propose a set of priorities for future research in this area.",IoT visualizes usage and experience data,Marketing research,Thinking AI,Market analysis
P2V-MAP: Mapping Market Structures for Large Retail Assortments,"The authors propose a new, exploratory approach for analyzing market structures that leverages two recent methodological advances in natural language processing and machine learning. They customize a neural network language model to derive latent product attributes by analyzing the co-occurrences of products in shopping baskets. Applying dimensionality reduction to the latent attributes yields a two-dimensional product map. This method is well-suited to retailers because it relies on data that are readily available from their checkout systems and facilitates their analyses of cross-category product complementarity, in addition to within-category substitution. The approach has high usability because it is automated, is scalable and does not require a priori assumptions. Its results are easy to interpret and update as new market basket data are collected. The authors validate their approach both by conducting an extensive simulation study and by comparing their results with those of state-of-the-art, econometric methods for modeling product relationships. The application of this approach using data collected at a leading German grocery retailer underlines its usefulness and provides novel findings that are relevant to assortment-related decisions.",NLP and MLmapmarket structures for large retail assortments,Marketing research,Thinking AI,Market analysis
Uniting the Tribes: Using Text for Marketing Insight,"Words are part of almost every marketplace interaction. Online reviews, customer service calls, press releases, marketing communications, and other interactions create a wealth of textual data. But how can marketers best use such data? This article provides an overview of automated textual analysis and details how it can be used to generate marketing insights. The authors discuss how text reflects qualities of the text producer (and the context in which the text was produced) and impacts the audience or text recipient. Next, they discuss how text can be a powerful tool both for prediction and for understanding (i.e., insights). Then, the authors overview methodologies and metrics used in text analysis, providing a set of guidelines and procedures. Finally, they further highlight some common metrics and challenges and discuss how researchers can address issues of internal and external validity. They conclude with a discussion of potential areas for future work. Along the way, the authors note how textual analysis can unite the tribes of marketing. While most marketing problems are interdisciplinary, the field is often fragmented. By involving skills and ideas from each of the subareas of marketing, text analysis has the potential to help unite the field with a common set of tools and approaches.",Big data marketing analytics for marketing insights,Marketing research,Thinking AI,Market analysis
Artificial Intelligence in Service,"Artificial intelligence (AI) is increasingly reshaping service by performing various tasks, constituting a major source of innovation, yet threatening human jobs. We develop a theory of AI job replacement to address this double-edged impact. The theory specifies four intelligences required for service tasks—mechanical, analytical, intuitive, and empathetic—and lays out the way firms should decide between humans and machines for accomplishing those tasks. AI is developing in a predictable order, with mechanical mostly preceding analytical, analytical mostly preceding intuitive, and intuitive mostly preceding empathetic intelligence. The theory asserts that AI job replacement occurs fundamentally at the task level, rather than the job level, and for “lower” (easier for AI) intelligence tasks first. AI first replaces some of a service job’s tasks, a transition stage seen as augmentation, and then progresses to replace human labor entirely when it has the ability to take over all of a job’s tasks. The progression of AI task replacement from lower to higher intelligences results in predictable shifts over time in the relative importance of the intelligences for service employees. An important implication from our theory is that analytical skills will become less important, as AI takes over more analytical tasks, giving the “softer” intuitive and empathetic skills even more importance for service employees. Eventually, AI will be capable of performing even the intuitive and empathetic tasks, which enables innovative ways of human–machine integration for providing service but also results in a fundamental threat for human employment.",Analytical and intuitive AI for service analytics,Marketing research,Thinking AI,Market analysis
Letting the Computers Take Over: Using AI to Solve Marketing Problems,"Artificial intelligence (AI) has proven to be useful in many applications from automating cars to providing customer service responses. However, though many firms want to take advantage of AI to improve marketing, they lack a process by which to execute a Marketing AI project. This article discusses the use of AI to provide support for marketing decisions. Based on the established Cross-Industry Standard Process for Data Mining (CRISP-DM) framework, it creates a process for managers to use when executing a Marketing AI project and discusses issues that might arise. It explores how this framework was used to develop three cutting-edge Marketing AI applications.",AI for solving marketing problems,Marketing research,Thinking AI,Market analysis
Comparing automated text classification methods,"Online social media drive the growth of unstructured text data. Many marketing applications require structuring this data at scales non-accessible to human coding, e.g., to detect communication shifts in sentiment or other researcher-defined content categories. Several methods have been proposed to automatically classify unstructured text. This paper compares the performance of ten such approaches (five lexicon-based, five machine learning algorithms) across 41 social media datasets covering major social media platforms, various sample sizes, and languages. So far, marketing research relies predominantly on support vector machines (SVM) and Linguistic Inquiry and Word Count (LIWC). Across all tasks we study, either random forest (RF) or naive Bayes (NB) performs best in terms of correctly uncovering human intuition. In particular, RF exhibits consistently high performance for three-class sentiment, NB for small samples sizes. SVM never outperform the remaining methods. All lexicon-based approaches, LIWC in particular, perform poorly compared with machine learning. In some applications, accuracies only slightly exceed chance. Since additional considerations of text classification choice are also in favor of NB and RF, our results suggest that marketing research can benefit from considering these alternatives.",Lexicon-based and ML algorithms text mining social media data for marketing research,Marketing research,Thinking AI,Market analysis
Improving Cancer Outreach Effectiveness Through Targeting and Economic Assessments: Insights from a Randomized Field Experiment,"Patients at risk for hepatocellular carcinoma or liver cancer should undergo semiannual screening tests to facilitate early detection, effective treatment options at lower cost, better recovery prognosis, and higher life expectancy. Health care institutions invest in direct-to-patient outreach marketing to encourage regular screening. They ask the following questions: (1) Does the effectiveness of outreach vary among patients and over time?; (2) What is the return on outreach?; and (3) Can patient-level targeted outreach increase the return? The authors use a multiperiod, randomized field experiment involving 1,800 patients. Overall, relative to the usual-care condition, outreach alone (outreach with patient navigation) increases screening completion rates by 10–20 (13–24) percentage points. Causal forests demonstrate that patient-level treatment effects vary substantially across periods and by patients’ demographics, health status, visit history, health system accessibility, and neighborhood socioeconomic status, thereby facilitating the implementation of the targeted outreach program. A simulation shows that the targeted outreach program improves the return on the randomized outreach program by 74%–96% or $1.6 million to $2 million. Thus, outreach marketing provides a substantial positive payoff to the health care system.",MLand causal forests for targeting cancer outreach marketing,Marketing strategy,Thinking AI,Targeting
Targeting Prospective Customers: Robustness of Machine-Learning Methods to Typical Data Challenges,"We investigate how firms can use the results of field experiments to optimize the targeting of promotions when prospecting for new customers. We evaluate seven widely used machine-learning methods using a series of two large-scale field experiments. The first field experiment generates a common pool of training data for each of the seven methods. We then validate the seven optimized policies provided by each method together with uniform benchmark policies in a second field experiment. The findings not only compare the performance of the targeting methods, but also demonstrate how well the methods address common data challenges. Our results reveal that when the training data are ideal, model-driven methods perform better than distance-driven methods and classification methods. However, the performance advantage vanishes in the presence of challenges that affect the quality of the training data, including the extent to which the training data captures details of the implementation setting. The challenges we study are covariate shift, concept shift, information loss through aggregation, and imbalanced data. Intuitively, the model-driven methods make better use of the information available in the training data, but the performance of these methods is more sensitive to deterioration in the quality of this information. The classification methods we tested performed relatively poorly. We explain the poor performance of the classification methods in our setting and describe how the performance of these methods could be improved.",ML for optimizing the targeting of promotions for new customers,Marketing strategy,Thinking AI,Targeting
Retention Futility: Targeting High-Risk Customers Might Be Ineffective,"Companies in a variety of sectors are increasingly managing customer churn proactively, generally by detecting customers at the highest risk of churning and targeting retention efforts towards them. While there is a vast literature on developing churn prediction models that identify customers at the highest risk of churning, no research has investigated whether it is indeed optimal to target those individuals. Combining two field experiments with machine learning techniques, the author demonstrates that customers identified as having the highest risk of churning are not necessarily the best targets for proactive churn programs. This finding is not only contrary to common wisdom but also suggests that retention programs are sometimes futile not because firms offer the wrong incentives but because they do not apply the right targeting rules. Accordingly, firms should focus their modeling efforts on identifying the observed heterogeneity in response to the intervention and to target customers on the basis of their sensitivity to the intervention, regardless of their risk of churning. This approach is empirically demonstrated to be significantly more effective than the standard practice of targeting customers with the highest risk of churning. More broadly, the author encourages firms and researchers using randomized trials (or A/B tests) to look beyond the average effect of interventions and leverage the observed heterogeneity in customers’ response to select customer targets.",ML techniques for field experiments data to identify the best targets for proactive churn programs,Marketing strategy,Thinking AI,Targeting
Frontiers: How Effective Is Third-Party Consumer Profiling? Evidence from Field Studies,"Data brokers often use online browsing records to create digital consumer profiles that they sell to marketers as predefined audiences for ad targeting. However, this process is a “black box”—little is known about the reliability of the digital profiles that are created or of the audience identification provided by buying platforms. In this paper, we investigate using three field tests the accuracy of a variety of demographic and audience-interest segments. We examine the accuracy of more than 90 third-party audiences across 19 data brokers. Audience segments vary greatly in quality and are often inaccurate across leading data brokers. In comparison with random audience selection, the use of black box data profiles, on average, increased identification of a user with a desired single attribute by 0%–77%. Audience identification can be improved, on average, by 123% when combined with optimization software. However, given the high extra costs of targeting solutions and the relative inaccuracy, we find that third-party audiences are often economically unattractive except for higher-priced media placements.",Digital consumer profiling for targeting,Marketing strategy,Thinking AI,Targeting
Targeting Customers with Statistical and Data-Mining Techniques,"Operationalizing a relationship management program requires a retention strategy that is sensitive to an individual customer’s position in the service life cycle, while being financially sound for the provider. To this end, estimating a customer’s hazard function and remaining tenure with the company can lead to important insights into marketing tactics and constitute fundamental building blocks for methods of targeting important customers. The authors describe a way of estimating these quantities using a combination of statistical and data-mining techniques. The resulting customer hazard information leads to a generalization of lifetime value (GLTV) that explicitly accounts for company actions and their success in relationship management.",Combining statistical and data-mining techniques to target customers,Marketing strategy,Thinking AI,Targeting
Advertising Effectiveness for Multiple Retailer-Brands in a Multimedia and Multichannel Environment,"An important aspect of multimedia advertising effectiveness that remains unexplored is a customer-level analysis of the relative importance of each medium for multiple retailer-brands within a product category. The increasing availability of customer databases for parent companies containing multimedia ad exposures, sales transactions in several purchase channels, and information across multiple retailer-brands now allows for a broader examination of advertising effectiveness. In this research, the authors monitor 4,000 customers over two years, linking their exposure to three media (email, catalogs, and paid search) to their in-store and online purchases for three retailer-brands in the clothing category. They develop a Tobit model for sales response to multimedia advertising that captures within-brand and within-channel correlations and accommodates individual-level advertising response parameters. Due to the very large number of observations (2.4 million) and random effects (60), the authors employ an emerging machine learning technique, variational Bayes, to estimate the model parameters. They find that email and sometimes catalogs from a focal retailer-brand have a negative influence on other retailer-brands in the category, whereas paid search influences only the focal retailer-brand. However, competitor catalogs often positively influence focal retailer-brand sales, but only among omnichannel customers. They segment customers by retailer-brand and channel usage, revealing a sizeable group of customers who shop across multiple retailer-brands and both purchase channels. Moreover, this segment is the most responsive to multimedia advertising.",Variational Bayes ML segments  customers based on retailer-brand and channel,Marketing strategy,Thinking AI,Targeting
"Big Data, Big Insights? Advancing Service Innovation and Design With Machine Learning","Service innovation is intertwined with service design, and knowledge from both fields should be integrated to advance theoretical and normative insights. However, studies bridging service innovation and service design are in their infancy. This is because the body of service innovation and service design research is large and heterogeneous, which makes it difficult, if not impossible, for any human to read and understand its entire content and to delineate appropriate guidelines on how to broaden the scope of either field. Our work addresses this challenge by presenting the first application of topic modeling, a type of machine learning, to review and analyze currently available service innovation and service design research (n = 641 articles with 10,543 pages of written text or 4,119,747 words). We provide an empirical contribution to service research by identifying and analyzing 69 distinct research topics in the published text corpus, a theoretical contribution by delineating an extensive research agenda consisting of four research directions and 12 operationalizable guidelines to facilitate cross-fertilization between the two fields, and a methodological contribution by introducing and demonstrating the applicability of topic modeling and machine learning as a novel type of big data analytics to our discipline.",Topic modeling and ML for service innovation and design,Marketing action,Thinking AI,Personalization
Recommending Products When Consumers Learn Their Preference Weights,"Consumers often learn the weights they ascribe to product attributes (“preference weights”) as they search. For example, after test driving cars, a consumer might find that he or she undervalued trunk space and overvalued sunroofs. Preference-weight learning makes optimal search complex because each time a product is searched, updated preference weights affect the expected utility of all products and the value of subsequent optimal search. Product recommendations, which take preference-weight learning into account, help consumers search. We motivate a model in which consumers learn (update) their preference weights. When consumers learn preference weights, it may not be optimal to recommend the product with the highest option value, as in most search models, or the product most likely to be chosen, as in traditional recommendation systems. Recommendations are improved if consumers are encouraged to search products with diverse attribute levels, products that are undervalued, or products for which recommendation-system priors differ from consumers’ priors. Synthetic data experiments demonstrate that proposed recommendation systems outperform benchmark recommendation systems, especially when consumers are novices and when recommendation systems have good priors. We demonstrate empirically that consumers learn preference weights during search, that recommendation systems can predict changes, and that a proposed recommendation system encourages learning.",Adaptive personalization systems,Marketing action,Thinking AI,Personalization
Combining Geographical and Social Influences with Deep Learning for Personalized Point-of-Interest Recommendation,"Personalized point-of-interest (POI) recommendation is important to location-based social networks (LBSNs) for helping users to explore new places and for helping third-party services to launch targeted advertisements. Discovering effective features or representations from check-in data is the key to POI recommendation. Deep learning is a representation-learning method with multiple levels for discovering intrinsic features to better represent user preferences. We analyzed users’ check-in behavior in detail and developed a deep learning model to integrate geographical and social influences for POI recommendation tasks. We used a semi-restricted Boltzmann machine to model the geographical similarity and a conditional layer to model the social influence. Experiments with real-world LBSNs showed that our method performed better than other state-of-the-art methods. Theoretically, our study contributes to the effective usage of data science and analytics for social recommender system design. In practice, our results can be used to improve the quality of personalized POI recommendation services for websites and applications.",Deep learning for personalized point-of-interest recommendation,Marketing action,Thinking AI,Personalization
A Video-Based Automated Recommender (VAR) System for Garments,"In this paper, we propose an automated and scalable garment recommender system using real-time in-store videos that can improve the experiences of garment shoppers and increase product sales. The video-based automated recommender (VAR) system is based on observations that garment shoppers tend to try on garments and evaluate themselves in front of store mirrors. Combining state-of-the-art computer vision techniques with marketing models of consumer preferences, the system automatically identifies shoppers’ preferences based on their reactions and uses that information to make meaningful personalized recommendations. First, the system uses a camera to capture a shopper’s behavior in front of the mirror to make inferences about her preferences based on her facial expressions and the part of the garment she is examining at each time point. Second, the system identifies shoppers with preferences similar to the focal customer from a database of shoppers whose preferences, purchasing, and/or consideration decisions are known. Finally, recommendations are made to the focal customer based on the preferences, purchasing, and/or consideration decisions of these like-minded shoppers. Each of the three steps can be implemented with several variations, and a retailing chain can choose the specific configuration that best serves its purpose. In this paper, we present an empirical test that compares one specific type of VAR system implementation against two alternative, nonautomated personal recommender systems: self-explicated conjoint (SEC) and self-evaluation after try-on (SET). The results show that VAR consistently outperforms SEC and SET. A second empirical study demonstrates the feasibility of VAR in real-time applications. Participants in the second study enjoyed the VAR experience, and almost all of them tried on the recommended garments. VAR should prove to be a valuable tool for both garment retailers and shoppers.",Video-based automated recommender systems,Marketing action,Thinking AI,Personalization
Dynamic online pricing with incomplete information using multiarmed bandit experiments.,"Pricing managers at online retailers face a unique challenge. They must decide on real-time prices for a large number of products with incomplete demand information. The manager runs price experiments to learn about each product's demand curve and the profit-maximizing price. Balanced field price experiments, in practice can create high opportunity costs since a large number of customers are presented with sub-optimal prices. In this paper, we propose an alternative dynamic price experimentation policy. The proposed approach extends multi-armed bandit (MAB) algorithms, from statistical machine learning, to include microeconomic choice theory. Our automated pricing policy solves this MAB problem using a scalable distribution-free algorithm. We prove analytically that our method is asymptotically optimal for any weakly downward sloping demand curve. In a series of Monte Carlo simulations, we show that the proposed approach perform favorably compared to balanced field experiments and standard methods in dynamic pricing from computer science. In a calibrated simulation based on an existing pricing field experiment, we find that our algorithm can increase profits by 43% profits during the month of testing and 4% annually.",Multiarmed bandit algorithms from statistical machine learning dynamically adjusted online prices with incomplete price information,Marketing action,Thinking AI,Personalization
 Optimal pricing in e-commerce based on sparse and noisy data,"In today's transparent markets, e-commerce providers often have to adjust their prices within short time intervals, e.g., to take frequently changing prices of competitors into account. Automating this task of determining an “optimal” price (e.g., in terms of profit or revenue) with a learning-based approach can however be challenging. Often, only few data points are available, making it difficult to reliably detect the relationships between a given price and the resulting revenue or profit. In this paper, we propose a novel machine-learning based framework for estimating optimal prices under such constraints. The framework is generic in terms of the optimality criterion and can be customized in different ways. At its core, it implements a novel algorithm based on Bayesian inference combined with bootstrap-based confidence estimation and kernel regression. Simulation experiments show that our method is favorable over existing dynamic pricing strategies. Furthermore, the method led to a significant increase in profit and revenue in a real-world evaluation.",Machine learning based on Bayesian inference optimize online pricing with sparse and noisy data,Marketing action,Thinking AI,Personalization
The Value of Personal Information in Online Markets with Endogenous Privacy,"We investigate the effects of price discrimination on prices, profits, and consumer surplus when (a) at least one competing firm can use consumers’ private information to price discriminate yet (b) consumers can prevent such use by paying a “privacy cost.” Unlike a monopolist, competing duopolists do not always benefit from a higher privacy cost because each firm’s profit decreases—and consumer surplus increases—with that cost. Under such competition, the optimal strategy for an owner of consumer data that sells information in a single block is selling to only one firm, thereby maximizing the stakes for rival buyers. The resulting inefficiencies imply that policy makers should devote more attention to discouraging exclusivity deals and less to ensuring that consumers can easily protect their privacy.",Consumers’ private information for price personalization,Marketing action,Thinking AI,Personalization
A Video-Based Automated Recommender (VAR) System for Garments,"In this paper, we propose an automated and scalable garment recommender system using real-time in-store videos that can improve the experiences of garment shoppers and increase product sales. The video-based automated recommender (VAR) system is based on observations that garment shoppers tend to try on garments and evaluate themselves in front of store mirrors. Combining state-of-the-art computer vision techniques with marketing models of consumer preferences, the system automatically identifies shoppers’ preferences based on their reactions and uses that information to make meaningful personalized recommendations. First, the system uses a camera to capture a shopper’s behavior in front of the mirror to make inferences about her preferences based on her facial expressions and the part of the garment she is examining at each time point. Second, the system identifies shoppers with preferences similar to the focal customer from a database of shoppers whose preferences, purchasing, and/or consideration decisions are known. Finally, recommendations are made to the focal customer based on the preferences, purchasing, and/or consideration decisions of these like-minded shoppers. Each of the three steps can be implemented with several variations, and a retailing chain can choose the specific configuration that best serves its purpose. In this paper, we present an empirical test that compares one specific type of VAR system implementation against two alternative, nonautomated personal recommender systems: self-explicated conjoint (SEC) and self-evaluation after try-on (SET). The results show that VAR consistently outperforms SEC and SET. A second empirical study demonstrates the feasibility of VAR in real-time applications. Participants in the second study enjoyed the VAR experience, and almost all of them tried on the recommended garments. VAR should prove to be a valuable tool for both garment retailers and shoppers.",Video-based automated recommender systems,Marketing action,Thinking AI,Personalization
Brave new world: service robots in the frontline,"The service sector is at an inflection point with regard to productivity gains and service industrialization similar to the industrial revolution in manufacturing that started in the eighteenth century. Robotics in combination with rapidly improving technologies like artificial intelligence (AI), mobile, cloud, big data and biometrics will bring opportunities for a wide range of innovations that have the potential to dramatically change service industries. The purpose of this paper is to explore the potential role service robots will play in the future and to advance a research agenda for service researchers.",Service robots deliver customized experience,Marketing action,Thinking AI,Personalization
Artificial Intelligence in Advertising: How Marketers Can Leverage Artificial Intelligence Along the Consumer Journey,"“Speaker’s Box” invites academics and practitioners to identify significant areas of research affecting advertising and marketing. The intent of these contributions is to bridge the gap between the length of time it takes to produce rigorous work and the acceleration of change within practice. This edition of Speaker’s Box assesses artificial intelligence (AI) in the wake of the Cambridge Analytica scandal, which has increased awareness about the “dark side” of data mining and the use of AI in analyzing and managing social-media data. By way of contrast, the authors focus mainly on the “bright side” of AI. They do so not to dismiss the many legitimate privacy concerns AI raises but instead to illustrate how AI helps consumers and advertisers alike by generating insights in an environment that observes the public’s privacy rights.“Speaker’s Box” invites academics and practitioners to identify significant areas of research affecting advertising and marketing. The intent of these contributions is to bridge the gap between the length of time it takes to produce rigorous work and the acceleration of change within practice. This edition of Speaker’s Box assesses artificial intelligence (AI) in the wake of the Cambridge Analytica scandal, which has increased awareness about the “dark side” of data mining and the use of AI in analyzing and managing social-media data. By way of contrast, the authors focus mainly on the “bright side” of AI. They do so not to dismiss the many legitimate privacy concerns AI raises but instead to illustrate how AI helps consumers and advertisers alike by generating insights in an environment that observes the public’s privacy rights.","Intelligent purchasing, dynamic pricing, targeting, and retargeting",Marketing action,Thinking AI,Personalization
Advertising Content and Consumer Engagement on Social Media: Evidence from Facebook,"We describe the effect of social media advertising content on customer engagement using data from Facebook. We content-code 106,316 Facebook messages across 782 companies, using a combination of Amazon Mechanical Turk and natural language processing algorithms. We use this data set to study the association of various kinds of social media marketing content with user engagement—defined as Likes, comments, shares, and click-throughs—with the messages. We find that inclusion of widely used content related to brand personality—like humor and emotion—is associated with higher levels of consumer engagement (Likes, comments, shares) with a message. We find that directly informative content—like mentions of price and deals—is associated with lower levels of engagement when included in messages in isolation, but higher engagement levels when provided in combination with brand personality–related attributes. Also, certain directly informative content, such as deals and promotions, drive consumers’ path to conversion (click-throughs). These results persist after incorporating corrections for the nonrandom targeting of Facebook’s EdgeRank (News Feed) algorithm and so reflect more closely user reaction to content than Facebook’s behavioral targeting. Our results suggest that there are benefits to content engineering that combines informative characteristics that help in obtaining immediate leads (via improved click-throughs) with brand personality–related content that helps in maintaining future reach and branding on the social media site (via improved engagement). These results inform content design strategies. Separately, the methodology we apply to content-code text is useful for future studies utilizing unstructured data such as advertising content or product reviews.",Content engineering by ML and NLP,Marketing action,Thinking AI,Personalization
Copycats vs. Original Mobile Apps: A Machine Learning Copycat-Detection Method and Empirical Analysis,"While the growth of the mobile apps market has created significant market opportunities and economic incentives for mobile app developers to innovate, it has also inevitably invited other developers to create rip-offs. Practitioners and developers of original apps claim that copycats steal the original app’s idea and potential demand, and have called for app platforms to take action against such copycats. Surprisingly, however, there has been little rigorous research analyzing whether and how copycats affect an original app’s demand. The primary deterrent to such research is the lack of an objective way to identify whether an app is a copycat or an original. Using a combination of machine learning techniques such as natural language processing, latent semantic analysis, network-based clustering, and image analysis, we propose a method to identify apps as original or copycat and detect two types of copycats: deceptive and nondeceptive. Based on the detection results, we conduct an econometric analysis to determine the impact of copycat apps on the demand for the original apps on a sample of 10,100 action game apps by 5,141 developers that were released in the iOS App Store over five years. Our results indicate that the effect of a specific copycat on an original app’s demand is determined by the quality and level of deceptiveness of the copycat. High-quality nondeceptive copycats negatively affect demand for the originals. By contrast, low-quality, deceptive copycats positively affect demand for the originals. Results indicate that in aggregate the impact of copycats on the demand of original mobile apps is statistically insignificant. Our study contributes to the growing literature on mobile app consumption by presenting a method to identify copycats and providing evidence of the impact of copycats on an original app’s demand.",Combine ML and NLP to detect copycat apps,Marketing action,Thinking AI,Personalization
Understanding Programmatic Creative: The Role of AI,"In this article, we expand the concept of programmatic advertising to include programmatic creative as a vital component. While artificial intelligence (AI) has already automated the media buying process, the advertising creative process still requires extensive human efforts. Such discrepancy calls for AI to transform the advertising creative process. We provide a framework for understanding and investigating programmatic creative by drawing evidence from the advertising industry in China. We specifically discuss how big data and machine learning algorithms underpin programmatic advertising. We argue that AI will integrate programmatic buying and programmatic creative in the future. We also discuss the technological, regulatory, and legal challenges faced by programmatic creative. We argue that new theories and methods are needed to conduct research in this area and provide guidance for the advertising industry.",AI transforms advertising creative processes,Marketing action,Thinking AI,Personalization
